symbol,Name,Score
🚔,ONCOMING POLICE CAR,3011963
👱,PERSON WITH BLOND HAIR,2961917
❔,WHITE QUESTION MARK ORNAMENT,2955935
🏥,HOSPITAL,2929531
👳,MAN WITH TURBAN,2925903
🌘,WANING CRESCENT MOON SYMBOL,2897519
🐂,OX,2888956
🎫,TICKET,2881818
🍮,CUSTARD,2872516
👜,HANDBAG,2871168
💶,BANKNOTE WITH EURO SIGN,2834696
🌔,WAXING GIBBOUS MOON SYMBOL,2830939
🏩,LOVE HOTEL,2827688
🎎,JAPANESE DOLLS,2811222
🚑,AMBULANCE,2752452
📛,NAME BADGE,2732957
🐅,TIGER,2685479
📨,INCOMING ENVELOPE,2678727
🏇,HORSE RACING,2666709
🅾,NEGATIVE SQUARED LATIN CAPITAL LETTER O,2666402
💴,BANKNOTE WITH YEN SIGN,2644233
🌗,LAST QUARTER MOON SYMBOL,2615439
🌇,SUNSET OVER BUILDINGS,2609475
8️⃣,KEYCAP 8,2605168
🕕,CLOCK FACE SIX OCLOCK,2596863
🌖,WANING GIBBOUS MOON SYMBOL,2594266
🚼,BABY SYMBOL,2574749
🏉,RUGBY FOOTBALL,2572534
👔,NECKTIE,2560759
9️⃣,KEYCAP 9,2548025
🐲,DRAGON FACE,2546806
🍛,CURRY AND RICE,2539628
🌰,CHESTNUT,2531281
🎡,FERRIS WHEEL,2517404
🛀,BATH,2517209
⛺️,TENT,2485363
👢,WOMANS BOOTS,2461129
🏪,CONVENIENCE STORE,2442590
🃏,PLAYING CARD BLACK JOKER,2417417
🔖,BOOKMARK,2395846
🍈,MELON,2373525
🎷,SAXOPHONE,2353682
🔅,LOW BRIGHTNESS SYMBOL,2352862
🎺,TRUMPET,2352464
🎢,ROLLER COASTER,2334645
➿,DOUBLE CURLY LOOP,2334279
🚓,POLICE CAR,2321137
🍙,RICE BALL,2318506
🐏,RAM,2313615
🐃,WATER BUFFALO,2305130
🔉,SPEAKER WITH ONE SOUND WAVE,2304746
🔈,SPEAKER,2297740
♿️,WHEELCHAIR SYMBOL,2285300
◼️,BLACK MEDIUM SQUARE,2275944
🏰,EUROPEAN CASTLE,2266345
🔼,UP-POINTING SMALL RED TRIANGLE,2260717
🚢,SHIP,2254582
🏂,SNOWBOARDER,2212002
👒,WOMANS HAT,2209222
📜,SCROLL,2208774
🚒,FIRE ENGINE,2174421
👞,MANS SHOE,2174340
🎠,CAROUSEL HORSE,2172991
🎒,SCHOOL SATCHEL,2156986
📬,OPEN MAILBOX WITH RAISED FLAG,2143761
🈹,SQUARED CJK UNIFIED IDEOGRAPH-5272,2124612
🉐,CIRCLED IDEOGRAPH ADVANTAGE,2113781
🚽,TOILET,2108646
◾️,BLACK MEDIUM SMALL SQUARE,2082033
💷,BANKNOTE WITH POUND SIGN,2079470
🏦,BANK,2074355
📘,BLUE BOOK,2060277
🐆,LEOPARD,2006498
🚁,HELICOPTER,1985941
🐪,DROMEDARY CAMEL,1985562
⛲️,FOUNTAIN,1982590
🐫,BACTRIAN CAMEL,1936513
🗻,MOUNT FUJI,1935463
🚕,TAXI,1909294
👛,PURSE,1899200
◻️,WHITE MEDIUM SQUARE,1891160
💈,BARBER POLE,1860115
🔟,KEYCAP TEN,1857981
🍠,ROASTED SWEET POTATO,1852600
🗼,TOKYO TOWER,1829641
🐗,BOAR,1825562
👷,CONSTRUCTION WORKER,1821468
📧,E-MAIL SYMBOL,1816745
🚹,MENS SYMBOL,1810265
👲,MAN WITH GUA PI MAO,1797832
🔕,BELL WITH CANCELLATION STROKE,1775184
🌂,CLOSED UMBRELLA,1769007
🚛,ARTICULATED LORRY,1757142
🎳,BOWLING,1755152
🛁,BATHTUB,1729155
🎍,PINE DECORATION,1717982
🔚,END WITH LEFTWARDS ARROW ABOVE,1695224
📼,VIDEOCASSETTE,1685100
#️⃣,HASH KEY,1651902
